1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
4	J	538
4	R	538
4	W	538
0	R	538
4	J	604
4	R	604
4	W	604
0	R	604
4	J	647
4	R	647
4	W	647
0	R	647
4	J	723
4	R	723
4	W	723
0	R	723
4	J	748
4	R	748
4	W	748
0	R	748
4	J	778
4	R	778
4	W	778
0	R	778
4	J	1066
4	R	1066
4	W	1066
0	R	1066
4	J	1164
4	R	1165
4	W	1165
0	R	1165
4	J	1230
4	R	1230
4	W	1230
0	R	1230
4	J	1320
4	R	1321
4	W	1321
0	R	1321
4	J	1429
4	R	1429
4	W	1429
0	R	1429
4	J	1476
4	R	1476
4	W	1476
0	R	1476
4	J	1521
4	R	1521
4	W	1521
0	R	1521
4	J	1593
4	R	1593
4	W	1593
0	R	1593
4	J	1798
4	R	1798
6	N	1799
6	J	1800
4	W	1800
6	R	1800
7	N	1802
7	J	1802
8	N	1803
8	J	1804
9	N	1804
9	J	1804
10	N	1805
10	J	1805
6	W	1805
10	R	1805
10	J	1820
9	R	1820
9	W	1820
8	R	1820
8	J	1835
7	R	1835
7	J	1850
10	R	1850
10	J	1865
8	R	1865
8	J	1880
7	R	1880
7	J	1895
10	R	1895
10	J	1910
8	R	1910
9	J	1925
8	J	1925
9	R	1925
9	W	1925
7	R	1925
7	J	1940
10	R	1940
10	J	1955
8	R	1955
8	J	1970
7	R	1970
7	J	1985
10	R	1985
10	J	2000
8	R	2000
8	J	2015
7	R	2015
9	J	2030
7	J	2030
9	R	2030
9	W	2030
10	R	2030
10	J	2045
8	R	2045
8	J	2060
7	R	2060
7	J	2075
10	R	2075
10	W	2085
8	R	2085
8	J	2100
7	R	2100
7	W	2110
8	R	2110
9	J	2140
8	J	2140
9	R	2140
9	W	2140
8	R	2140
10	J	2200
8	J	2200
10	R	2200
10	W	2200
8	R	2200
7	J	2215
8	J	2215
7	R	2215
9	J	2244
7	J	2244
9	R	2244
9	W	2244
8	R	2244
8	J	2259
7	R	2259
7	J	2274
8	R	2274
8	J	2289
7	R	2289
10	J	2304
7	J	2304
10	R	2304
10	W	2304
8	R	2304
8	J	2319
7	R	2319
7	J	2334
8	R	2334
9	J	2349
8	J	2349
9	R	2349
9	W	2349
7	R	2349
7	J	2364
8	R	2364
8	J	2379
7	R	2379
7	W	2390
8	R	2390
10	J	2405
8	J	2405
10	R	2405
10	W	2405
8	R	2405
9	J	2450
8	J	2450
9	R	2450
9	W	2450
8	R	2450
7	J	2495
8	J	2495
7	R	2495
10	J	2524
7	J	2524
10	R	2524
10	W	2524
8	R	2524
8	J	2539
7	R	2539
9	J	2554
7	J	2554
9	R	2554
9	W	2554
8	R	2554
8	J	2569
7	R	2569
7	J	2584
8	R	2584
8	J	2599
7	R	2599
7	J	2614
8	R	2614
10	J	2629
8	J	2629
10	R	2629
10	W	2629
7	R	2629
7	J	2644
8	R	2644
9	J	2659
8	J	2659
9	R	2659
9	W	2659
7	R	2659
7	W	2670
8	R	2670
10	J	2730
8	J	2730
10	R	2730
10	W	2730
8	R	2730
9	J	2760
8	J	2760
9	R	2760
9	W	2760
8	R	2760
7	J	2775
8	J	2775
7	R	2775
7	J	2804
8	R	2804
8	J	2819
7	R	2819
10	J	2834
7	J	2834
10	R	2834
10	W	2834
8	R	2834
8	J	2849
7	R	2849
9	J	2864
7	J	2864
9	R	2864
9	E	2864
6	J	2864
6	R	2864
6	E	2865
4	J	2865
4	R	2865
11	N	2865
11	J	2866
4	W	2866
11	R	2866
